Domain Name,TLD,Create Date,Expiration Date,Auto-renew,Lock,Status,Renewal Price,Privacy,Category,Estimated Value,365-Day Total Searches,Nameservers
alinapoplianski.ca,.CA,2026-03-26,2027-03-26,On,Locked,Active,CA$ 21.99,Off,Idle,CA$ 0.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
alinapoplianski.com,.COM,2026-03-26,2027-03-26,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 1.00,1,ns67.domaincontrol.com ns68.domaincontrol.com
amazingindia.app,.APP,2025-09-06,2026-09-06,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 70.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
amitavmisra.com,.COM,2022-12-03,2026-12-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 5.00,0,ns65.domaincontrol.com ns66.domaincontrol.com
anujmisra.com,.COM,2022-12-03,2026-12-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 16.00,0,ns73.domaincontrol.com ns74.domaincontrol.com
APERTUREAPPS.COM,.COM,2011-11-15,2026-11-15,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,334.00",1,NS29.DOMAINCONTROL.COM NS30.DOMAINCONTROL.COM
APPLIAISON.COM,.COM,2011-12-26,2026-12-26,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,889.00",0,NS53.DOMAINCONTROL.COM NS54.DOMAINCONTROL.COM
APPSTHEBOOK.COM,.COM,2011-10-18,2026-10-18,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,274.00",0,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
artniche.store,.STORE,2025-10-28,2026-10-28,On,Locked,Active,CA$ 119.22,On,Popular,CA$ 21.00,3,ns43.domaincontrol.com ns44.domaincontrol.com
ARUNABHDAS.COM,.COM,2008-10-06,2026-10-06,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 363.00,0,NS29.DOMAINCONTROL.COM NS30.DOMAINCONTROL.COM
arunabhdas.dev,.DEV,2025-11-23,2026-11-23,On,Locked,Active,CA$ 34.05,On,Popular,CA$ 4.00,3,ns11.domaincontrol.com ns12.domaincontrol.com
audreynesbitt.com,.COM,2018-10-20,2026-10-20,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 999.00,0,ns27.domaincontrol.com ns28.domaincontrol.com
autostoreapp.com,.COM,2019-01-07,2027-01-07,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,144.00",0,ns09.domaincontrol.com ns10.domaincontrol.com
beigebook.app,.APP,2026-02-18,2027-02-18,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 10.00,0,ns09.domaincontrol.com ns10.domaincontrol.com
betzapp.app,.APP,2022-10-28,2026-10-28,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 37.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
bracketzapp.com,.COM,2022-10-27,2026-10-27,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 44.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
brucecates.com,.COM,2023-04-27,2027-04-27,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 34.00,0,ns69.domaincontrol.com ns70.domaincontrol.com
calcutta.pro,.PRO,2025-05-18,2027-05-18,On,Locked,Active,CA$ 59.60,On,Popular,CA$ 371.00,0,ns45.domaincontrol.com ns46.domaincontrol.com
calcuttaapp.com,.COM,2025-05-17,2027-05-17,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 40.00,1,ns01.domaincontrol.com ns02.domaincontrol.com
catchalittlefire.com,.COM,2026-01-05,2027-01-05,On,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,251.00",0,ns25.domaincontrol.com ns26.domaincontrol.com
cates.foundation,.FOUNDATION,2023-04-27,2026-04-27,Off,Locked,Deleted - Redeemable,,On,Popular,CA$ 689.00,0,ns47.domaincontrol.com ns48.domaincontrol.com
chatoffside.com,.COM,2023-02-09,2027-02-09,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 79.00,0,ns27.domaincontrol.com ns28.domaincontrol.com
cloudcnctr.ai,.AI,2022-07-14,2026-07-14,Off,Locked,Active,CA$ 454.19,On,Idle,CA$ 3.00,0,ns35.domaincontrol.com ns36.domaincontrol.com
codecomplete.app,.APP,2026-03-10,2027-03-10,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 180.00,0,ns65.domaincontrol.com ns66.domaincontrol.com
codecompleteguide.com,.COM,2022-10-17,2026-10-17,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 32.00,0,ns13.domaincontrol.com ns14.domaincontrol.com
codelabspro.com,.COM,2022-09-14,2026-09-14,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 28.00,0,ns63.domaincontrol.com ns64.domaincontrol.com
cognito.school,.SCHOOL,2026-02-25,2027-02-25,On,Locked,Active,CA$ 79.47,On,Popular,CA$ 250.00,0,ns05.domaincontrol.com ns06.domaincontrol.com
cognitoschool.com,.COM,2026-02-25,2027-02-25,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 37.00,0,ns67.domaincontrol.com ns68.domaincontrol.com
contently.app,.APP,2022-08-07,2026-08-07,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 247.00,10,ns11.domaincontrol.com ns12.domaincontrol.com
convoyapp.app,.APP,2022-01-28,2027-01-28,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 36.00,0,ns27.domaincontrol.com ns28.domaincontrol.com
crm6ix.com,.COM,2026-02-02,2027-02-02,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 54.00,0,ns49.domaincontrol.com ns50.domaincontrol.com
crunchstack.app,.APP,2026-06-03,2027-06-03,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 22.00,0,ns55.domaincontrol.com ns56.domaincontrol.com
dailypodcast.app,.APP,2025-10-16,2026-10-16,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 44.00,1,ns13.domaincontrol.com ns14.domaincontrol.com
dariavlasenko.com,.COM,2024-10-22,2026-10-22,Off,Locked,Active,CA$ 32.99,On,Popular,CA$ 16.00,2,ns49.domaincontrol.com ns50.domaincontrol.com
dashboardlaunchpad.com,.COM,2018-10-04,2026-10-04,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,136.00",0,ns71.domaincontrol.com ns72.domaincontrol.com
dasmachinelabs.com,.COM,2019-01-13,2027-01-13,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 745.00,0,ns51.domaincontrol.com ns52.domaincontrol.com
deeplegal.app,.APP,2025-02-06,2027-02-06,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 41.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
dematx.app,.APP,2025-08-09,2026-08-09,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 4.00,0,ns73.domaincontrol.com ns74.domaincontrol.com
dematx.com,.COM,2025-08-09,2026-08-09,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 138.00,0,ns73.domaincontrol.com ns74.domaincontrol.com
deuceapp.app,.APP,2025-08-26,2026-08-26,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 26.00,3,ns21.domaincontrol.com ns22.domaincontrol.com
DEVILSMARTINI.CA,.CA,2014-07-08,2026-07-08,Off,Locked,Active,CA$ 21.99,Off,Idle,CA$ 25.00,0,ns45.domaincontrol.com ns46.domaincontrol.com
dillonmisra.com,.COM,2023-02-28,2027-02-28,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 10.00,0,ns47.domaincontrol.com ns48.domaincontrol.com
eliteplusone.app,.APP,2026-06-01,2027-06-01,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 2.00,1,ns47.domaincontrol.com ns48.domaincontrol.com
elysiumpro.app,.APP,2025-12-19,2026-12-19,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 40.00,0,ns33.domaincontrol.com ns34.domaincontrol.com
elysiumpro.club,.CLUB,2025-12-19,2026-12-19,On,Locked,Active,CA$ 39.99,On,Idle,CA$ 23.00,0,ns31.domaincontrol.com ns32.domaincontrol.com
enricocarlucci.com,.COM,2024-09-20,2026-09-20,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 11.00,0,ns09.domaincontrol.com ns10.domaincontrol.com
eurostack.app,.APP,2025-05-12,2027-05-12,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 38.00,0,ns29.domaincontrol.com ns30.domaincontrol.com
eurostack.ca,.CA,2025-05-12,2027-05-12,On,Locked,Active,CA$ 21.99,Off,Popular,CA$ 313.00,0,ns69.domaincontrol.com ns70.domaincontrol.com
fashiondistrict.app,.APP,2025-02-27,2027-02-27,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 138.00,0,ns15.domaincontrol.com ns16.domaincontrol.com
fintechpro.app,.APP,2025-12-28,2026-12-28,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 38.00,0,ns07.domaincontrol.com ns08.domaincontrol.com
FORBESMODELLING.COM,.COM,2010-03-29,2027-03-29,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 373.00,0,NS77.DOMAINCONTROL.COM NS78.DOMAINCONTROL.COM
fourdchess.app,.APP,2025-12-24,2026-12-24,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 17.00,0,ns43.domaincontrol.com ns44.domaincontrol.com
fr8z.ai,.AI,2026-01-05,2028-01-05,On,Locked,Active,CA$ 454.19,On,Popular,CA$ 2.00,1,ns07.domaincontrol.com ns08.domaincontrol.com
galdiva.com,.COM,2021-07-21,2026-07-21,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,319.00",0,ns69.domaincontrol.com ns70.domaincontrol.com
galdivalabs.com,.COM,2025-01-03,2027-01-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 15.00,0,ns51.domaincontrol.com ns52.domaincontrol.com
galdivastudios.com,.COM,2025-01-03,2027-01-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 14.00,0,ns35.domaincontrol.com ns36.domaincontrol.com
geopop.app,.APP,2025-11-30,2026-11-30,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 79.00,0,ns75.domaincontrol.com ns76.domaincontrol.com
getmeme.app,.APP,2025-02-21,2027-02-21,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 37.00,2,ns77.domaincontrol.com ns78.domaincontrol.com
gocyberdeck.com,.COM,2025-08-04,2026-08-04,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 33.00,0,ns45.domaincontrol.com ns46.domaincontrol.com
godmodeapp.app,.APP,2025-03-07,2027-03-07,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 3.00,0,ns41.domaincontrol.com ns42.domaincontrol.com
golfcaddy.app,.APP,2023-03-31,2027-03-31,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 100.00,4,ns57.domaincontrol.com ns58.domaincontrol.com
golfcaddy.pro,.PRO,2023-03-31,2027-03-31,Off,Locked,Active,CA$ 59.60,On,Popular,CA$ 132.00,0,ns57.domaincontrol.com ns58.domaincontrol.com
gosuper.app,.APP,2024-08-05,2026-08-05,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 71.00,4,ns45.domaincontrol.com ns46.domaincontrol.com
greenberry.app,.APP,2025-10-23,2026-10-23,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 245.00,3,ns13.domaincontrol.com ns14.domaincontrol.com
hackysack.io,.IO,2025-04-16,2027-04-16,On,Locked,Active,CA$ 127.74,On,Popular,"CA$ 1,359.00",2,ns73.domaincontrol.com ns74.domaincontrol.com
hirehuman.app,.APP,2026-02-22,2027-02-22,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 50.00,2,ns11.domaincontrol.com ns12.domaincontrol.com
homefaxapp.app,.APP,2025-12-14,2026-12-14,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 2.00,0,ns75.domaincontrol.com ns76.domaincontrol.com
hopscotchgo.app,.APP,2025-04-11,2027-04-11,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 18.00,0,ns01.domaincontrol.com ns02.domaincontrol.com
hyggeyoga.app,.APP,2019-03-30,2027-03-30,Off,Locked,Active,CA$ 39.73,Off,Idle,CA$ 55.00,0,ns01.domaincontrol.com ns02.domaincontrol.com
hyperscalar.app,.APP,2025-07-28,2026-07-28,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 53.00,0,ns67.domaincontrol.com ns68.domaincontrol.com
hyperscalar.cloud,.CLOUD,2026-05-07,2027-05-07,On,Locked,Active,CA$ 56.76,On,Idle,CA$ 53.00,0,ns21.domaincontrol.com ns22.domaincontrol.com
hyperscalar.co,.CO,2025-08-25,2026-08-25,On,Locked,Active,CA$ 84.99,On,Idle,CA$ 1.00,0,ns75.domaincontrol.com ns76.domaincontrol.com
hyperscalar.dev,.DEV,2026-05-07,2027-05-07,On,Locked,Active,CA$ 34.05,On,Idle,CA$ 53.00,0,ns35.domaincontrol.com ns36.domaincontrol.com
hyperscalar.io,.IO,2025-08-25,2026-08-25,On,Locked,Active,CA$ 127.74,On,Popular,CA$ 565.00,1,ns75.domaincontrol.com ns76.domaincontrol.com
india-site.com,.COM,2018-08-28,2026-08-28,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 167.00,1,pdns05.domaincontrol.com pdns06.domaincontrol.com
INDIASITE.IN,.IN,2011-11-01,2026-11-01,Off,Locked,Active,CA$ 18.44,Off,Popular,CA$ 29.00,3,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
indiastack.app,.APP,2023-07-11,2026-07-11,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 77.00,0,ns07.domaincontrol.com ns08.domaincontrol.com
joinelysium.app,.APP,2023-09-17,2026-09-17,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 27.00,0,ns11.domaincontrol.com ns12.domaincontrol.com
jumpstarter.app,.APP,2025-09-16,2026-09-16,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 99.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
kaustubhdas.com,.COM,2022-12-03,2026-12-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 17.00,0,ns65.domaincontrol.com ns66.domaincontrol.com
lakeshoretennis.app,.APP,2026-04-28,2027-04-28,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 5.00,0,ns39.domaincontrol.com ns40.domaincontrol.com
leaguespro.app,.APP,2025-09-15,2026-09-15,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 14.00,0,ns25.domaincontrol.com ns26.domaincontrol.com
leaguezapp.com,.COM,2022-10-27,2026-10-27,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 59.00,0,ns45.domaincontrol.com ns46.domaincontrol.com
LETORONTO.COM,.COM,2014-01-23,2027-01-23,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,484.00",0,ns43.domaincontrol.com ns44.domaincontrol.com
liftoffpro.app,.APP,2025-12-16,2026-12-16,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 19.00,0,ns55.domaincontrol.com ns56.domaincontrol.com
lqgx.store,.STORE,2023-01-20,2027-01-20,Off,Locked,Active,CA$ 119.22,On,Idle,CA$ 12.00,0,ns09.domaincontrol.com ns10.domaincontrol.com
majoryoga.com,.COM,2019-10-10,2026-10-10,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,531.00",1,ns03.domaincontrol.com ns04.domaincontrol.com
mariefitzpatrick.ca,.CA,2021-08-05,2026-08-05,Off,Locked,Active,CA$ 21.99,Off,Idle,CA$ 4.00,0,ns43.domaincontrol.com ns44.domaincontrol.com
mariefitzpatrick.com,.COM,2021-08-05,2026-08-05,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,044.00",0,ns43.domaincontrol.com ns44.domaincontrol.com
martinaseidl.com,.COM,2021-10-18,2026-10-18,Off,Locked,Active,CA$ 32.99,On,Popular,CA$ 344.00,0,ns47.domaincontrol.com ns48.domaincontrol.com
mezza9.app,.APP,2025-03-02,2027-03-02,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 27.00,0,ns39.domaincontrol.com ns40.domaincontrol.com
mezzanine.club,.CLUB,2025-05-03,2027-05-03,On,Locked,Active,CA$ 42.57,On,Popular,CA$ 903.00,6,ns09.domaincontrol.com ns10.domaincontrol.com
mezzanineapp.com,.COM,2026-03-08,2027-03-08,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 130.00,0,ns33.domaincontrol.com ns34.domaincontrol.com
mindsport.app,.APP,2026-03-18,2027-03-18,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 118.00,3,ns35.domaincontrol.com ns36.domaincontrol.com
MONICADAS.COM,.COM,2008-11-10,2026-11-10,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,201.00",0,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
moonshotsapp.app,.APP,2025-01-07,2027-01-07,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 6.00,0,ns57.domaincontrol.com ns58.domaincontrol.com
moonshotsapp.com,.COM,2025-01-06,2027-01-06,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,224.00",0,ns43.domaincontrol.com ns44.domaincontrol.com
moonshotsdating.app,.APP,2024-09-20,2026-09-20,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 1.00,0,ns11.domaincontrol.com ns12.domaincontrol.com
moonshotspro.com,.COM,2025-01-08,2027-01-08,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 16.00,0,ns61.domaincontrol.com ns62.domaincontrol.com
mybazar.app,.APP,2020-10-15,2026-10-15,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 273.00,9,ns65.domaincontrol.com ns66.domaincontrol.com
mycyberdeck.com,.COM,2025-08-04,2026-08-04,On,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,292.00",0,ns39.domaincontrol.com ns40.domaincontrol.com
networkpark.app,.APP,2025-09-22,2026-09-22,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 43.00,1,ns11.domaincontrol.com ns12.domaincontrol.com
networkpark.ventures,.VENTURES,2025-09-22,2026-09-22,On,Locked,Active,CA$ 130.57,On,Popular,CA$ 43.00,1,ns55.domaincontrol.com ns56.domaincontrol.com
ODETTETOASTMASTERS.COM,.COM,2008-10-21,2026-10-21,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 567.00,0,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
