Domain Name,TLD,Create Date,Expiration Date,Auto-renew,Lock,Status,Renewal Price,Privacy,Category,Estimated Value,365-Day Total Searches,Nameservers
offside.ai,.AI,2022-06-27,2028-06-27,Off,Locked,Active,CA$ 454.19,On,Popular,CA$ 200.00,18,ns07.domaincontrol.com ns08.domaincontrol.com
offsideagent.ai,.AI,2025-10-20,2027-10-20,On,Locked,Active,CA$ 454.19,On,Popular,CA$ 3.00,1,ns53.domaincontrol.com ns54.domaincontrol.com
offsideai.ai,.AI,2023-01-18,2027-01-18,Off,Locked,Active,CA$ 454.19,On,Idle,CA$ 5.00,0,ns43.domaincontrol.com ns44.domaincontrol.com
offsidecms.com,.COM,2024-02-27,2027-02-27,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 37.00,0,ns31.domaincontrol.com ns32.domaincontrol.com
offsidekick.ai,.AI,2026-01-15,2028-01-15,On,Locked,Active,CA$ 454.19,On,Popular,CA$ 2.00,1,ns71.domaincontrol.com ns72.domaincontrol.com
offsidelabs.ai,.AI,2026-04-20,2028-04-20,On,Locked,Active,CA$ 454.19,On,Popular,CA$ 2.00,1,ns51.domaincontrol.com ns52.domaincontrol.com
offsidepark.com,.COM,2025-09-23,2026-09-23,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 66.00,0,ns71.domaincontrol.com ns72.domaincontrol.com
offsidepark.ventures,.VENTURES,2025-09-23,2026-09-23,On,Locked,Active,CA$ 130.57,On,Popular,CA$ 2.00,1,ns63.domaincontrol.com ns64.domaincontrol.com
offsidesearch.com,.COM,2025-08-29,2026-08-29,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 60.00,0,ns49.domaincontrol.com ns50.domaincontrol.com
offsidestudio.ai,.AI,2024-10-30,2026-10-30,Off,Locked,Active,CA$ 454.19,On,Popular,CA$ 18.00,1,ns55.domaincontrol.com ns56.domaincontrol.com
offsideventures.com,.COM,2026-04-27,2027-04-27,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 86.00,1,ns01.domaincontrol.com ns02.domaincontrol.com
openagents.store,.STORE,2025-10-20,2026-10-20,On,Locked,Active,CA$ 119.22,On,Popular,CA$ 21.00,1,ns63.domaincontrol.com ns64.domaincontrol.com
openrobotics.app,.APP,2025-08-12,2026-08-12,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 80.00,0,ns05.domaincontrol.com ns06.domaincontrol.com
openrobotics.dev,.DEV,2025-08-12,2026-08-12,On,Locked,Active,CA$ 34.05,On,Idle,CA$ 80.00,0,ns21.domaincontrol.com ns22.domaincontrol.com
paigedallas.com,.COM,2025-11-23,2026-11-23,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 40.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
palanquin.ai,.AI,2026-02-26,2028-02-26,On,Locked,Active,CA$ 454.19,On,Idle,CA$ 15.00,0,ns71.domaincontrol.com ns72.domaincontrol.com
palanquin.app,.APP,2025-09-06,2026-09-06,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 15.00,1,ns15.domaincontrol.com ns16.domaincontrol.com
parlayapp.app,.APP,2022-11-01,2026-11-01,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 55.00,0,ns35.domaincontrol.com ns36.domaincontrol.com
paygeai.com,.COM,2026-02-10,2027-02-10,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 49.00,1,ns19.domaincontrol.com ns20.domaincontrol.com
paygedallas.com,.COM,2025-11-23,2026-11-23,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 51.00,0,ns51.domaincontrol.com ns52.domaincontrol.com
PHOTOGRAFFITTI.COM,.COM,2012-01-07,2027-01-07,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 749.00,0,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
pivotai.app,.APP,2025-12-01,2026-12-01,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 32.00,14,ns09.domaincontrol.com ns10.domaincontrol.com
pivotalai.app,.APP,2025-12-02,2026-12-02,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 33.00,1,ns09.domaincontrol.com ns10.domaincontrol.com
platform6ix.ai,.AI,2023-04-11,2027-04-11,Off,Locked,Active,CA$ 454.19,On,Idle,CA$ 9.00,0,ns15.domaincontrol.com ns16.domaincontrol.com
platform6ix.com,.COM,2021-08-10,2026-08-10,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,112.00",0,ns43.domaincontrol.com ns44.domaincontrol.com
platformx.app,.APP,2021-08-09,2026-08-09,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 217.00,3,ns03.domaincontrol.com ns04.domaincontrol.com
polymatic.app,.APP,2024-10-25,2026-10-25,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 113.00,3,ns35.domaincontrol.com ns36.domaincontrol.com
POOLBAR.CA,.CA,2015-08-24,2026-08-24,Off,Locked,Active,CA$ 21.99,Off,Popular,CA$ 458.00,0,ns55.domaincontrol.com ns56.domaincontrol.com
popquizpro.com,.COM,2022-12-11,2026-12-11,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 25.00,0,ns59.domaincontrol.com ns60.domaincontrol.com
propertyfax.app,.APP,2025-12-14,2026-12-14,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 115.00,1,ns51.domaincontrol.com ns52.domaincontrol.com
propz.ai,.AI,2022-07-10,2026-07-10,Off,Locked,Active,CA$ 454.19,On,Popular,CA$ 162.00,12,ns75.domaincontrol.com ns76.domaincontrol.com
propzai.app,.APP,2024-11-26,2026-11-26,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 4.00,0,ns39.domaincontrol.com ns40.domaincontrol.com
propzai.com,.COM,2024-11-25,2026-11-25,Off,Locked,Active,CA$ 32.99,On,Popular,CA$ 80.00,2,ns61.domaincontrol.com ns62.domaincontrol.com
proustapp.com,.COM,2025-12-07,2026-12-07,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 42.00,0,ns65.domaincontrol.com ns66.domaincontrol.com
psychapp.app,.APP,2023-10-13,2026-10-13,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 32.00,0,ns15.domaincontrol.com ns16.domaincontrol.com
radianceapp.app,.APP,2025-03-23,2027-03-23,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 20.00,0,ns29.domaincontrol.com ns30.domaincontrol.com
radianceskincare.app,.APP,2026-02-22,2027-02-22,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 36.00,1,ns31.domaincontrol.com ns32.domaincontrol.com
ratchet.club,.CLUB,2024-12-30,2026-12-30,Off,Locked,Active,CA$ 42.57,On,Popular,CA$ 505.00,0,ns19.domaincontrol.com ns20.domaincontrol.com
ratchet.pro,.PRO,2025-12-19,2026-12-19,On,Locked,Active,CA$ 59.60,On,Popular,CA$ 560.00,1,ns57.domaincontrol.com ns58.domaincontrol.com
ratchetapp.app,.APP,2025-08-19,2026-08-19,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 28.00,0,ns69.domaincontrol.com ns70.domaincontrol.com
ratchetbot.com,.COM,2025-08-19,2028-08-19,On,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,453.00",0,ns15.domaincontrol.com ns16.domaincontrol.com
ratchetclub.com,.COM,2024-12-29,2026-12-29,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,421.00",0,ns67.domaincontrol.com ns68.domaincontrol.com
ratchetpro.app,.APP,2025-12-19,2026-12-19,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 24.00,0,ns43.domaincontrol.com ns44.domaincontrol.com
renthuman.app,.APP,2026-02-22,2027-02-22,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 14.00,9,ns11.domaincontrol.com ns12.domaincontrol.com
rizzapp.app,.APP,2023-08-19,2026-08-19,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 7.00,2,ns67.domaincontrol.com ns68.domaincontrol.com
rizzapp.pro,.PRO,2025-09-10,2026-09-10,On,Locked,Active,CA$ 59.60,On,Popular,CA$ 3.00,1,ns25.domaincontrol.com ns26.domaincontrol.com
saaslaunchpad.app,.APP,2025-03-04,2027-03-04,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 7.00,1,ns55.domaincontrol.com ns56.domaincontrol.com
salonpro.app,.APP,2022-12-09,2026-12-09,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 70.00,3,ns35.domaincontrol.com ns36.domaincontrol.com
sassysaas.app,.APP,2025-11-30,2026-11-30,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 18.00,1,ns75.domaincontrol.com ns76.domaincontrol.com
saucecommerce.app,.APP,2025-12-27,2026-12-27,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 4.00,1,ns71.domaincontrol.com ns72.domaincontrol.com
saucecommerce.shop,.SHOP,2025-12-27,2026-12-27,On,Locked,Active,CA$ 85.15,On,Idle,CA$ 4.00,0,ns41.domaincontrol.com ns42.domaincontrol.com
saucecouture.shop,.SHOP,2025-12-29,2026-12-29,On,Locked,Active,CA$ 85.15,On,Idle,CA$ 21.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
saucify.app,.APP,2026-03-18,2027-03-18,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 12.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
saucycart.com,.COM,2025-12-27,2026-12-27,On,Locked,Active,CA$ 32.99,On,Idle,CA$ 91.00,0,ns51.domaincontrol.com ns52.domaincontrol.com
saucycart.shop,.SHOP,2025-12-27,2026-12-27,On,Locked,Active,CA$ 85.15,On,Idle,CA$ 4.00,0,ns15.domaincontrol.com ns16.domaincontrol.com
saucycart.store,.STORE,2025-12-27,2026-12-27,On,Locked,Active,CA$ 119.22,On,Idle,CA$ 4.00,0,ns41.domaincontrol.com ns42.domaincontrol.com
saucycouture.com,.COM,2025-09-17,2026-09-17,On,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,215.00",1,ns53.domaincontrol.com ns54.domaincontrol.com
scannerdarkly.app,.APP,2025-11-28,2026-11-28,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 18.00,0,ns77.domaincontrol.com ns78.domaincontrol.com
seidlfoundation.com,.COM,2023-04-27,2026-04-27,Off,Locked,Deleted - Redeemable,,On,Idle,CA$ 19.00,0,ns67.domaincontrol.com ns68.domaincontrol.com
sharecentral.io,.IO,2015-10-29,2026-10-29,Off,Locked,Active,CA$ 127.74,Off,Popular,"CA$ 1,395.00",0,NS29.DOMAINCONTROL.COM NS30.DOMAINCONTROL.COM
shopmaple.app,.APP,2025-02-03,2027-02-03,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 29.00,0,ns1.digitalocean.com ns2.digitalocean.com ns3.digitalocean.com
sparksapp.app,.APP,2025-09-10,2026-09-10,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 47.00,1,ns25.domaincontrol.com ns26.domaincontrol.com
sprintapp.app,.APP,2022-10-28,2026-10-28,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 34.00,0,ns67.domaincontrol.com ns68.domaincontrol.com
stackstore.app,.APP,2025-09-17,2026-09-17,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 31.00,2,ns45.domaincontrol.com ns46.domaincontrol.com
startuphaus.app,.APP,2025-10-06,2026-10-06,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 11.00,1,ns05.domaincontrol.com ns06.domaincontrol.com
startupstore.app,.APP,2026-01-13,2027-01-13,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 164.00,0,ns35.domaincontrol.com ns36.domaincontrol.com
STARTUPSTORONTO.COM,.COM,2012-01-31,2027-01-31,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 802.00,0,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
STYLETORONTO.COM,.COM,2012-02-01,2027-02-01,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,559.00",3,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
superstackapp.com,.COM,2025-08-14,2026-08-14,On,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,026.00",0,ns31.domaincontrol.com ns32.domaincontrol.com
svetaleurdo.com,.COM,2017-10-03,2026-10-03,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 456.00,0,ns55.domaincontrol.com ns56.domaincontrol.com
svetayoga.com,.COM,2017-10-03,2026-10-03,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,218.00",0,ns55.domaincontrol.com ns56.domaincontrol.com
tactilebrowser.com,.COM,2025-08-29,2026-08-29,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 58.00,2,ns35.domaincontrol.com ns36.domaincontrol.com
tactilesearch.com,.COM,2025-08-29,2026-08-29,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 61.00,1,ns53.domaincontrol.com ns54.domaincontrol.com
techweekto.ca,.CA,2026-04-15,2027-04-15,On,Locked,Active,CA$ 21.99,Off,Popular,CA$ 2.00,2,ns53.domaincontrol.com ns54.domaincontrol.com
texperts.ai,.AI,2022-07-01,2026-07-01,Off,Locked,Active,CA$ 454.19,On,Popular,CA$ 107.00,4,ns1.digitalocean.com ns2.digitalocean.com ns3.digitalocean.com
THEDAILYCHAI.COM,.COM,2011-10-30,2026-10-30,Off,Locked,Active,CA$ 32.99,Off,Popular,CA$ 649.00,5,DNS1.SUPREMEDNS.COM DNS2.SUPREMEDNS.COM
thedailysyndicate.com,.COM,2022-12-21,2026-12-21,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 16.00,0,ns59.domaincontrol.com ns60.domaincontrol.com
thedailywonk.com,.COM,2025-01-30,2027-01-30,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 8.00,0,ns37.domaincontrol.com ns38.domaincontrol.com
thehomebrew.app,.APP,2026-05-30,2027-05-30,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 18.00,1,ns51.domaincontrol.com ns52.domaincontrol.com
theleague.app,.APP,2024-02-29,2027-02-28,Off,Locked,Active,CA$ 39.73,On,Popular,CA$ 397.00,3,ns55.domaincontrol.com ns56.domaincontrol.com
themezzanine.club,.CLUB,2025-05-03,2027-05-03,On,Locked,Active,CA$ 39.99,On,Popular,CA$ 20.00,1,ns01.domaincontrol.com ns02.domaincontrol.com
thenetworkstate.net,.NET,2022-10-23,2026-10-23,Off,Locked,Active,CA$ 34.99,On,Idle,CA$ 27.00,0,ns77.domaincontrol.com ns78.domaincontrol.com
theniche.art,.ART,2021-09-27,2026-09-27,Off,Locked,Active,CA$ 56.76,On,Popular,CA$ 321.00,0,ns69.domaincontrol.com ns70.domaincontrol.com
thesuperapp.app,.APP,2025-12-27,2026-12-27,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 63.00,0,ns27.domaincontrol.com ns28.domaincontrol.com
tlqgx.com,.COM,2023-01-21,2027-01-21,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 40.00,0,ns31.domaincontrol.com ns32.domaincontrol.com
topwritecorner.app,.APP,2025-03-09,2027-03-09,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 11.00,0,ns19.domaincontrol.com ns20.domaincontrol.com
torontofashiondistrict.com,.COM,2025-02-26,2027-02-26,Off,Locked,Active,CA$ 32.99,On,Popular,CA$ 458.00,0,ns15.domaincontrol.com ns16.domaincontrol.com
torontofashionweek.ca,.CA,2026-05-04,2027-05-04,On,Locked,Active,CA$ 21.99,Off,Popular,CA$ 24.00,2,ns77.domaincontrol.com ns78.domaincontrol.com
TORONTONIST.COM,.COM,2011-11-01,2026-11-01,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,229.00",0,ns04.domaincontrol.com ns03.domaincontrol.com
torontotechweek.ca,.CA,2023-04-28,2027-04-28,Off,Locked,Active,CA$ 21.99,Off,Popular,CA$ 21.00,2,ns25.domaincontrol.com ns26.domaincontrol.com
troikatechweek.com,.COM,2026-04-16,2027-04-16,On,Locked,Active,CA$ 32.99,On,Popular,CA$ 21.00,2,ns73.domaincontrol.com ns74.domaincontrol.com
trustinc.ai,.AI,2026-01-17,2028-01-17,On,Locked,Active,CA$ 454.19,On,Popular,CA$ 159.00,5,ns55.domaincontrol.com ns56.domaincontrol.com
trustllc.ai,.AI,2026-01-17,2028-01-17,On,Locked,Active,CA$ 454.19,On,Popular,CA$ 50.00,3,ns21.domaincontrol.com ns22.domaincontrol.com
udayabhanudas.com,.COM,2022-12-03,2026-12-03,Off,Locked,Active,CA$ 32.99,On,Idle,CA$ 1.00,0,ns03.domaincontrol.com ns04.domaincontrol.com
unicornpro.app,.APP,2022-09-14,2026-09-14,Off,Locked,Active,CA$ 39.73,On,Idle,CA$ 52.00,0,ns69.domaincontrol.com ns70.domaincontrol.com
uptheante.app,.APP,2026-02-18,2027-02-18,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 63.00,1,ns39.domaincontrol.com ns40.domaincontrol.com
vault6ix.app,.APP,2026-02-02,2027-02-02,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 9.00,0,ns01.domaincontrol.com ns02.domaincontrol.com
VECTORSCALE.COM,.COM,2013-01-23,2027-01-23,Off,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,580.00",67,NS09.DOMAINCONTROL.COM NS10.DOMAINCONTROL.COM
wallet6ix.app,.APP,2026-02-02,2027-02-02,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 3.00,0,ns49.domaincontrol.com ns50.domaincontrol.com
wallstreetbetsapp.com,.COM,2023-03-05,2027-03-05,Off,Locked,Active,CA$ 32.99,On,Popular,CA$ 372.00,0,ns71.domaincontrol.com ns72.domaincontrol.com
wonderyardai.com,.COM,2023-04-27,2026-04-27,Off,Locked,Deleted - Redeemable,,On,Idle,CA$ 20.00,0,ns45.domaincontrol.com ns46.domaincontrol.com
wonks.app,.APP,2026-04-08,2027-04-08,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 184.00,0,ns05.domaincontrol.com ns06.domaincontrol.com
worldtradeapp.com,.COM,2025-08-20,2026-08-20,On,Locked,Active,CA$ 32.99,On,Popular,"CA$ 1,299.00",2,ns49.domaincontrol.com ns50.domaincontrol.com
xscorps.com,.COM,2016-07-10,2026-07-10,Off,Locked,Active,CA$ 32.99,Off,Popular,"CA$ 1,336.00",0,ns23.domaincontrol.com ns24.domaincontrol.com
yoloapp.app,.APP,2025-12-05,2026-12-05,On,Locked,Active,CA$ 39.73,On,Idle,CA$ 60.00,0,ns67.domaincontrol.com ns68.domaincontrol.com
yologo.app,.APP,2025-12-26,2026-12-26,On,Locked,Active,CA$ 39.73,On,Popular,CA$ 106.00,4,ns69.domaincontrol.com ns70.domaincontrol.com
